Value,Count,World_Lan1,World_Mois,World_Temp,World_Lan2,LF_ClassNa,LC_ClassNa,Temp_Class,Moisture_C,Temp_Moist,W_Ecosystm
"42",29462.00000000000,"3","3","6","1",Tablelands,Cropland,Polar,Moist,Polar Moist,Polar Moist Cropland on Tablelands
"43",17402.00000000000,"2","2","6","3",Hills,Forest,Polar,Dry,Polar Dry,Polar Dry Forest on Hills
"44",5518.00000000000,"3","2","6","3",Tablelands,Forest,Polar,Dry,Polar Dry,Polar Dry Forest on Tablelands
"45",33479688.00000000000,"4","3","1","6",Plains,Sparsley or Non vegetated,Boreal,Moist,Boreal Moist,Boreal Moist Sparsley or Non vegetated on Plains
"46",5681035.00000000000,"4","3","1","4",Plains,Grassland,Boreal,Moist,Boreal Moist,Boreal Moist Grassland on Plains
"47",15011571.00000000000,"2","3","1","6",Hills,Sparsley or Non vegetated,Boreal,Moist,Boreal Moist,Boreal Moist Sparsley or Non vegetated on Hills
"48",5191941.00000000000,"2","3","1","4",Hills,Grassland,Boreal,Moist,Boreal Moist,Boreal Moist Grassland on Hills
"49",10221719.00000000000,"2","3","1","2",Hills,Shrubland,Boreal,Moist,Boreal Moist,Boreal Moist Shrubland on Hills
"50",69987067.00000000000,"2","3","1","3",Hills,Forest,Boreal,Moist,Boreal Moist,Boreal Moist Forest on Hills
"51",21548405.00000000000,"1","3","1","6",Mountains,Sparsley or Non vegetated,Boreal,Moist,Boreal Moist,Boreal Moist Sparsley or Non vegetated on Mountains
"52",36929178.00000000000,"4","3","1","2",Plains,Shrubland,Boreal,Moist,Boreal Moist,Boreal Moist Shrubland on Plains
"53",93810669.00000000000,"4","3","1","3",Plains,Forest,Boreal,Moist,Boreal Moist,Boreal Moist Forest on Plains
"54",24442742.00000000000,"1","3","1","2",Mountains,Shrubland,Boreal,Moist,Boreal Moist,Boreal Moist Shrubland on Mountains
"55",108821462.00000000000,"1","3","1","3",Mountains,Forest,Boreal,Moist,Boreal Moist,Boreal Moist Forest on Mountains
"56",11790914.00000000000,"1","3","1","4",Mountains,Grassland,Boreal,Moist,Boreal Moist,Boreal Moist Grassland on Mountains
"57",7363111.00000000000,"3","3","1","6",Tablelands,Sparsley or Non vegetated,Boreal,Moist,Boreal Moist,Boreal Moist Sparsley or Non vegetated on Tablelands
"58",3741466.00000000000,"3","3","1","2",Tablelands,Shrubland,Boreal,Moist,Boreal Moist,Boreal Moist Shrubland on Tablelands
"59",1426915.00000000000,"3","3","1","4",Tablelands,Grassland,Boreal,Moist,Boreal Moist,Boreal Moist Grassland on Tablelands
"60",1052389.00000000000,"2","3","1","1",Hills,Cropland,Boreal,Moist,Boreal Moist,Boreal Moist Cropland on Hills
"61",41711.00000000000,"4","2","6","1",Plains,Cropland,Polar,Dry,Polar Dry,Polar Dry Cropland on Plains
"62",1402021.00000000000,"4","3","1","1",Plains,Cropland,Boreal,Moist,Boreal Moist,Boreal Moist Cropland on Plains
"63",30897409.00000000000,"3","3","1","3",Tablelands,Forest,Boreal,Moist,Boreal Moist,Boreal Moist Forest on Tablelands
"64",172.00000000000,"4","3","6","5",Plains,Settlement,Polar,Moist,Polar Moist,Polar Moist Settlement on Plains
"65",755685.00000000000,"1","2","6","3",Mountains,Forest,Polar,Dry,Polar Dry,Polar Dry Forest on Mountains
